signature,sequence,value,length
(2+3)*(5+6),"3,2,+,5,6,+,*",55,4
((2*4)+3)*5,"5,3,4,2,*,+,*",55,4
(2+3+6)*5,"5,2,3,6,+,+,*",55,4
(((3*4)-2)*6)-5,"6,3,4,*,2,-,*,5,-",55,5
(((4*6)-5)*3)-2,"3,4,6,*,5,-,*,2,-",55,5
(((2*3)+4)*6)-5,"6,4,3,2,*,+,*,5,-",55,5
(((3*6)+4)*5)/2,"5,4,3,6,*,+,*,2,/",55,5
(((2*6)+3)*4)-5,"4,3,2,6,*,+,*,5,-",55,5
(((4+5)*6)+3)-2,"3,6,4,5,+,*,+,2,-",55,5
(((4*6)+5)*2)-3,"2,5,4,6,*,+,*,3,-",55,5
((4+6)*2*3)-5,"2,3,4,6,+,*,*,5,-",55,5
((4+5)*6)-(2-3),"6,4,5,+,*,2,3,-,-",55,5
((3+4)-2)*(5+6),"5,6,+,4,3,+,2,-,*",55,5
((2*4)-3)*(5+6),"5,6,+,4,2,*,3,-,*",55,5
((4/2)+3)*(5+6),"5,6,+,3,4,2,/,+,*",55,5
((4-2)+3)*(5+6),"5,6,+,3,4,2,-,+,*",55,5
(3-(2-4))*(5+6),"5,6,+,3,2,4,-,-,*",55,5
((3-2)+4)*(5+6),"5,6,+,4,3,2,-,+,*",55,5
(4-(2-3))*(5+6),"5,6,+,4,2,3,-,-,*",55,5
((4+5)*6)+(3-2),"3,2,-,6,5,4,+,*,+",55,5
(((2*4)+6)-3)*5,"5,6,4,2,*,+,3,-,*",55,5
(((3*6)+4)/2)*5,"5,4,3,6,*,+,2,/,*",55,5
(((2*6)+3)-4)*5,"5,3,2,6,*,+,4,-,*",55,5
((3+4+6)-2)*5,"5,3,4,6,+,+,2,-,*",55,5
(((4+5)*6)-2)+3,"3,6,4,5,+,*,2,-,+",55,5
((2+5)*(3+4))+6,"6,3,4,+,5,2,+,*,+",55,5
((2*6)-(4-3))*5,"5,2,6,*,4,3,-,-,*",55,5
((4+6)-(2-3))*5,"5,4,6,+,2,3,-,-,*",55,5
((2*4)+(6-3))*5,"5,4,2,*,6,3,-,+,*",55,5
((2*4)-(3-6))*5,"5,4,2,*,3,6,-,-,*",55,5
((3+6)-(2-4))*5,"5,3,6,+,2,4,-,-,*",55,5
((2+3)*(4+6))+5,"5,3,2,+,4,6,+,*,+",55,5
((2*6)+(3-4))*5,"5,3,4,-,2,6,*,+,*",55,5
((3+4)-(2-6))*5,"5,3,4,+,2,6,-,-,*",55,5
(6-((2-3)-4))*5,"5,6,2,3,-,4,-,-,*",55,5
(6-((2-4)-3))*5,"5,6,2,4,-,3,-,-,*",55,5
(((3+4)-2)+6)*5,"5,6,4,3,+,2,-,+,*",55,5
(((2*4)-3)+6)*5,"5,6,4,2,*,3,-,+,*",55,5
(4-((2-6)-3))*5,"5,4,2,6,-,3,-,-,*",55,5
(4-((2-3)-6))*5,"5,4,2,3,-,6,-,-,*",55,5
(((3+6)-2)+4)*5,"5,4,3,6,+,2,-,+,*",55,5
(((2*6)-4)+3)*5,"5,3,2,6,*,4,-,+,*",55,5
(3-((2-6)-4))*5,"5,3,2,6,-,4,-,-,*",55,5
(3-((2-4)-6))*5,"5,3,2,4,-,6,-,-,*",55,5
(((4+6)-2)+3)*5,"5,3,4,6,+,2,-,+,*",55,5
(((5*6)-4)*2)+3,"3,2,5,6,*,4,-,*,+",55,5
(6-(3-(2*4)))*5,"5,6,3,2,4,*,-,-,*",55,5
((3-(2-4))+6)*5,"5,6,3,2,4,-,-,+,*",55,5
(6-(2-(3+4)))*5,"5,6,2,4,3,+,-,-,*",55,5
((4-(2-3))+6)*5,"5,6,4,2,3,-,-,+,*",55,5
((3-2)+4+6)*5,"5,4,6,3,2,-,+,+,*",55,5
((6-(2-3))+4)*5,"5,4,6,2,3,-,-,+,*",55,5
(4-(2-(3+6)))*5,"5,4,2,3,6,+,-,-,*",55,5
((3-(2-6))+4)*5,"5,4,3,2,6,-,-,+,*",55,5
((4/2)+3+6)*5,"5,3,6,4,2,/,+,+,*",55,5
((4-2)+3+6)*5,"5,3,6,4,2,-,+,+,*",55,5
((6-(2-4))+3)*5,"5,3,6,2,4,-,-,+,*",55,5
(3-(2-(4+6)))*5,"5,3,2,4,6,+,-,-,*",55,5
((6-2)+3+4)*5,"5,3,4,6,2,-,+,+,*",55,5
(3-(4-(2*6)))*5,"5,3,4,2,6,*,-,-,*",55,5
((4-(2-6))+3)*5,"5,3,4,2,6,-,-,+,*",55,5
(((2*6)+5)*3)+4,"4,3,5,2,6,*,+,*,+",55,5
((2+5+6)*4)+3,"3,4,2,5,6,+,+,*,+",55,5
(((4*5)+6)*2)+3,"3,2,6,5,4,*,+,*,+",55,5
3-(2-((4+5)*6)),"3,2,6,5,4,+,*,-,-",55,5
3-((4-(5*6))*2),"3,2,4,5,6,*,-,*,-",55,5
((4+6)*5)+2+3,"2,3,5,4,6,+,*,+,+",55,5
